ID,Category,Name,Details,URL
130,processor,AMD RYZEN 9 5900X & GIGABYTE X570 AORUS PRO WIFI COMBO,AMD RYZEN 9 5900X & GIGABYTE X570 AORUS PRO WIFI COMBO @ Combo1,pcpricetracker.in/gen/products/6b7f570d8e5a77a6855ee4083179ebd3
131,processor,AMD RYZEN 9 5900X & GIGABYTE B550 AORUS MASTER COMBO,AMD RYZEN 9 5900X & GIGABYTE B550 AORUS MASTER COMBO @ Combo4,pcpricetracker.in/gen/products/7359a60b5ee9cfd3eb2076619d80950a
132,processor,AMD RYZEN 9 5950X & GIGABYTE X570 AORUS ELITE WIFI COMBO,AMD RYZEN 9 5950X & GIGABYTE X570 AORUS ELITE WIFI COMBO @ Combo6,pcpricetracker.in/gen/products/07c249ae73b79596b939ce9d9d1779a2
133,processor,[RePacked] AMD Ryzen 5 2600X Desktop Processor AM4 Socket 6 Cores 12 Threads Max Boost 4.2Ghz 20MB of Cache,[RePacked] AMD Ryzen 5 2600X Desktop Processor AM4 Socket 6 Cores 12 Threads Max Boost 4.2Ghz 20MB of Cache,pcpricetracker.in/gen/products/645406a4d034f318873a93fd8023c7b6
134,processor,[RePacked] AMD Ryzen 7 5800X Desktop Processor 8 Cores up to 4.7GHz 36MB Cache AM4 Socket,[RePacked] AMD Ryzen 7 5800X Desktop Processor 8 Cores up to 4.7GHz 36MB Cache AM4 Socket,pcpricetracker.in/gen/products/5dd3d764ad23a2139e4d52bafd78bb77
135,processor,AMD RYZEN 9 5950X & GIGABYTE X570 AORUS PRO WIFI COMBO,AMD RYZEN 9 5950X & GIGABYTE X570 AORUS PRO WIFI COMBO @ Combo5,pcpricetracker.in/gen/products/f2f238d24258229bc36059489dd4e46f
136,processor,[RePacked] Intel Core i7-10700K LGA1200 Unlocked Desktop Processor 8 Cores up to 5.10 GHz 16MB Cache,[RePacked] Intel Core i7-10700K LGA1200 Unlocked Desktop Processor 8 Cores up to 5.10 GHz 16MB Cache @ ,pcpricetracker.in/gen/products/8db901d98727b32328b589bc905cd924
137,processor,[RePacked] Intel Core i7-9700F LGA1151 Desktop Processor 8 Cores up to 4.7GHz 12MB Cache,[RePacked] Intel Core i7-9700F LGA1151 Desktop Processor 8 Cores up to 4.7GHz 12MB Cache @ ,pcpricetracker.in/gen/products/3be1415f918bb23a7356cec82866787c
138,processor,[RePacked] AMD Ryzen 5 5600X Desktop Processor 6 Cores up to 4.6GHz 35MB Cache AM4 Socket,[RePacked] AMD Ryzen 5 5600X Desktop Processor 6 Cores up to 4.6GHz 35MB Cache AM4 Socket @ ,pcpricetracker.in/gen/products/4e398f71bee808f6fcafc34747692bf7
139,processor,[RePacked] AMD Ryzen 3 2200G Desktop Processor 8 Cores Up to 3.7GHz AM4 Socket with Radeon Vega 8 Graphics,[RePacked] AMD Ryzen 3 2200G Desktop Processor 8 Cores Up to 3.7GHz AM4 Socket with Radeon Vega 8 Graphics @ ,pcpricetracker.in/gen/products/e695caea89ee480a86a4a44bb15bdf3c
